user_id,day,scrolling_time,video_watching_duration,post_story_views,time_spent_daily,daily_logins,posting_frequency,liking_behavior,commenting_activity,sharing_behavior,educational_time_spent,entertainment_time_spent,news_time_spent,inspirational_time_spent,user_profile,churned
U0001,1,1068.8481338781173,569.9577729009081,1564,2751.4619975638834,5,0,4,3,1,352.27760211300614,202.5318668968637,89.82626427700667,89.82626427700667,casual,False
U0001,2,1255.547475370908,522.837179564097,1764,2656.4566556600794,1,0,3,3,0,253.75441909321853,88.7254320086616,97.24510246369543,203.7317020945038,casual,False
U0001,3,576.0373833739587,233.28844058083823,1360,2341.0078172257877,3,0,1,0,1,108.31290983314531,45.68024462218286,106.61856989339445,41.39609287706495,casual,False
U0001,4,829.1134472609343,347.77694938319985,958,2317.602633424616,3,0,3,0,1,203.8420084419637,58.39780745041472,90.78884976654267,79.26305978318405,casual,False
U0001,5,651.0244945063747,271.3644192079994,1822,2344.625998119942,3,0,3,0,0,78.83000094125913,79.19754041245618,73.91504156061721,94.6834152056095,casual,False
U0001,6,1090.6495654627279,662.0721624913069,1094,2842.8964824309282,1,0,9,0,0,260.0113379548888,255.701587238663,115.78411083071813,189.3994464066582,casual,False
U0001,7,380.68527125488714,204.78984000758547,1782,2320.443442791635,3,1,2,0,0,57.140644543621555,58.5007134307635,123.55082225408404,66.25126256316591,casual,False
U0001,8,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,9,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,10,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,11,750.9121498748012,295.00074845278357,1753,2436.1742927150017,1,1,7,0,0,50.81052689722587,71.96565320781264,224.58758571273717,50.81052689722587,casual,False
U0001,12,514.7064663628139,350.4764039333386,1842,2428.315309421873,2,2,2,0,0,206.54184622273536,102.20391898723891,51.284772105949216,51.284772105949216,casual,False
U0001,13,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,14,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,15,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,16,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,17,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,18,1500.0,640.0677355831489,886,2906.742502539432,3,0,3,1,0,180.58782882740985,122.82132571845203,244.87189209381978,316.46145589975026,casual,False
U0001,19,1500.0,585.8916195171315,1377,2793.2995320513173,3,0,12,0,1,265.6512494435831,311.826039776014,96.41112141585997,96.41112141585997,casual,False
U0001,20,1013.7785398809863,454.87980613153434,1451,2643.906929135811,5,1,2,1,0,72.24690201723288,385.24866539049935,72.24690201723288,73.16445971084553,casual,False
U0001,21,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,22,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,23,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,24,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,25,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,26,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,27,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,casual,True
U0001,28,739.2412976624477,420.2574697801858,1505,2590.6603011282427,7,0,3,2,0,145.2938096908805,274.5690334237023,74.89872900682995,74.89872900682995,casual,False
U0001,29,793.7915460912575,331.74942848474143,1426,2484.534747938496,4,0,3,2,0,58.06082795655904,278.3522640688188,58.06082795655904,58.06082795655904,casual,False
U0001,30,1326.9309871621388,542.1275165036996,1492,2737.182910194544,1,0,7,3,0,108.13535003973402,310.55565824292836,144.64550211718307,136.84639979469884,casual,False
U0002,1,1000.0,1413.8558456175772,1504,3843.400702683275,2,0,14,2,2,422.00381445899853,895.2925120996525,254.5521880623119,254.5521880623119,highly_active,False
U0002,2,1000.0,2398.5361352996297,1127,5102.071213601748,3,1,46,0,0,704.6025622706301,495.56966445058555,1003.4608652642087,885.4381216163246,highly_active,False
U0002,3,1000.0,2095.3963950027155,1985,4738.1803459465045,4,0,51,0,0,392.4734920588997,448.1330797180773,356.9786683190914,1496.5951058504368,highly_active,False
U0002,4,1000.0,2432.790792737471,1217,5182.093992011443,4,0,93,4,0,1233.5594608379222,1103.4015786848668,412.0664762443269,412.0664762443269,highly_active,False
U0002,5,1000.0,2512.230695770199,959,5322.46501454185,2,1,39,4,0,547.5403536234952,1194.377092276029,871.3639436830961,667.18362495923,highly_active,False
U0002,6,1000.0,1641.7282547465825,1241,4187.320521277377,3,0,75,0,2,623.8415620332709,391.5753715991397,297.86317008692174,837.0404175580454,highly_active,False
U0002,7,1000.0,2535.2479864601337,891,5297.99023094539,1,0,36,0,0,1364.4212119166057,1082.711798806017,404.428610111384,404.428610111384,highly_active,False
U0002,8,1000.0,2682.5181951789737,1186,5457.466275269388,4,1,132,0,0,493.45880439744144,1232.3313277977818,1059.4174575829632,627.2586854912012,highly_active,False
U0002,9,1000.0,2082.866508709675,993,4605.840922058589,4,0,31,0,0,817.8878474613155,368.9547199081616,1025.0436347809505,368.9547199081616,highly_active,False
U0002,10,1000.0,2366.4100938872907,1765,5057.642287007452,6,0,26,4,0,503.1955775207811,1365.4183584866698,614.0451367657442,534.9832142342568,highly_active,False
U0002,11,1000.0,2631.0739869953686,1736,5481.9023456151135,3,0,95,0,0,411.8068333730945,2201.4818454958295,411.8068333730945,411.8068333730945,highly_active,False
U0002,12,1000.0,2495.4080485532468,1458,5268.059979216033,3,0,59,0,0,990.2453004830645,1378.374198400975,428.22024016599664,428.22024016599664,highly_active,False
U0002,13,1000.0,2829.9282559191793,1439,5629.0,3,1,45,5,6,475.3722285189135,1383.7361050313439,1265.5194379308289,475.3722285189135,highly_active,False
U0002,14,1000.0,1680.6138283163968,1536,4176.268752246257,2,0,51,8,0,610.8899328779139,764.1231740084794,480.59641653641893,288.65922882344387,highly_active,False
U0002,15,1000.0,1969.4304113338799,1762,4571.970032678847,3,0,38,3,0,377.0817489009401,1111.6017013242736,595.583923543855,458.7026589097781,highly_active,False
U0002,16,1000.0,2841.637224148804,1102,5646.0,2,0,56,0,0,433.08697618681765,2012.2390320170248,721.5870156093406,433.08697618681765,highly_active,False
U0002,17,1000.0,1941.548327413246,904,4540.627074226944,1,1,44,0,0,1094.3770714872423,374.41629860782785,345.4214186785938,700.4122854532809,highly_active,False
U0002,18,1000.0,2086.519062546111,966,4721.8764979315765,7,0,102,3,0,374.96263789713,568.0574727393091,1262.012049388055,498.84433790708266,highly_active,False
U0002,19,1000.0,1873.2198519916271,1061,4477.268710755572,3,0,37,0,4,453.5255790426278,689.344900326409,340.1237227302482,973.2745086562871,highly_active,False
U0002,20,1000.0,1736.139635625279,1796,4236.066986646885,4,0,26,9,2,1006.6334598424844,438.66176228812895,456.28842009670046,321.4833444195712,highly_active,False
U0002,21,1000.0,2797.4428129155745,1289,5578.330818450173,0,0,79,0,0,1292.6952882316095,1315.7176751319757,478.458927543294,478.458927543294,highly_active,False
U0002,22,1000.0,2492.7670565511926,1937,5297.8233780166,6,0,76,0,3,397.46404180713404,1829.5312474881227,630.3640469142094,397.46404180713404,highly_active,False
U0002,23,1000.0,1444.6199462321626,1096,3844.8758607854497,3,0,53,0,0,352.46899183143927,549.5102645344532,245.73018318276704,659.1664212367899,highly_active,False
U0002,24,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,highly_active,True
U0002,25,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,highly_active,True
U0002,26,1000.0,1697.172535824392,1613,4231.333222517617,3,0,33,3,2,1092.493425796901,518.0834873174927,288.8781547016119,288.8781547016119,highly_active,False
U0002,27,1000.0,1427.4452638859495,1151,3873.5942540599317,4,0,82,12,0,629.4375781801405,656.1011173722146,245.84902265943964,300.2065358481372,highly_active,False
U0002,28,1000.0,2325.2856176355363,1265,4981.718472894711,4,3,51,0,5,1648.7669600401798,597.7848437462231,349.08333455415425,349.08333455415425,highly_active,False
U0002,29,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,highly_active,True
U0002,30,1000.0,2045.1951210619006,1661,4697.420191642346,3,0,44,0,0,661.2848556870958,1054.7536363833763,372.6198292309231,569.7618703409506,highly_active,False
U0003,1,1200.0,1389.9250046778095,833,3796.9350148113317,6,0,16,2,0,559.4253811705769,226.59303031986576,226.59303031986576,764.3235730010234,engaged,False
U0003,2,1200.0,688.6838922310071,1148,2954.862953321823,1,1,10,0,0,125.4101267966016,403.5966178679611,234.98588025239565,176.8703284048651,engaged,False
U0003,3,1200.0,1381.9765267744199,1286,3824.589526847185,3,0,40,0,2,1054.0799631334653,258.1521292224795,243.67871724562008,243.67871724562008,engaged,False
U0003,4,1200.0,1226.967811601885,1605,3598.247227328651,4,0,28,10,0,614.9409818933858,286.0774559794103,456.9403833657929,230.28840609006232,engaged,False
U0003,5,1200.0,1077.4758996284836,1799,3442.571384829374,2,0,18,2,0,199.9884962273325,334.22595321649595,196.8813711631457,683.4755642223997,engaged,False
U0003,6,1103.4352852252623,779.233940210816,1284,3015.973154254718,3,0,26,4,0,140.4359641915372,553.7401259917806,140.82715995274856,166.96990411865139,engaged,False
U0003,7,1200.0,1125.3926422678524,1430,3436.2012705923366,0,0,24,0,1,213.2312363703781,218.59434658523392,356.9877796606856,636.3879079760392,engaged,False
U0003,8,1200.0,1478.691920775178,1604,3987.627335545984,3,0,20,2,0,821.2551483123949,259.04044709530154,619.2912930429864,259.04044709530154,engaged,False
U0003,9,1200.0,1477.1387019251224,1565,3943.3106243680213,3,0,31,7,2,265.41654137323746,265.41654137323746,662.9090125553876,702.5685290661587,engaged,False
U0003,10,1200.0,928.2284127118016,1225,3242.068287827037,2,0,7,0,0,162.7373729754583,692.4300843195954,176.16345755652478,162.7373729754583,engaged,False
U0003,11,1200.0,1105.909533535442,942,3460.9294268200188,3,0,18,0,1,653.433397418693,315.47139866328973,263.485845991659,191.53878474637722,engaged,False
U0003,12,1200.0,1159.1919695802892,1828,3462.202941994982,4,0,36,6,0,191.24663665429674,691.4898370423634,191.24663665429674,376.21983164402536,engaged,False
