Target_Variable,Causal_Parent,Causal_Weight
next_day_happy,video_watching_duration,94.8193
next_day_happy,scrolling_time,21.0544
next_day_happy,engagement_change,14.5438
next_day_happy,intensity_change,-1.8338
next_day_happy,next_day_emotion_val,1.4477
next_day_happy,user_happy,0.3909
next_day_happy,video_engagement_score,-0.3864
next_day_happy,emotion_intensity,0.3679
next_day_happy,next_day_disappointed,0.3
next_day_happy,user_disappointed,0.1062
next_day_happy,emotion_val,0.0826
next_day_happy,churned,0.0335
next_day_stressed,video_watching_duration,82.2058
next_day_stressed,engagement_change,16.5433
next_day_stressed,scrolling_time,15.426
next_day_stressed,video_engagement_score,12.3475
next_day_stressed,intensity_change,2.137
next_day_stressed,next_day_disappointed,-0.4244
next_day_stressed,next_day_emotion_val,-0.4133
next_day_stressed,user_disappointed,-0.372
next_day_stressed,user_happy,0.2889
next_day_stressed,user_stressed,0.2856
next_day_stressed,emotion_intensity,0.1769
next_day_stressed,next_day_happy,-0.1475
next_day_stressed,churned,-0.1005
next_day_stressed,emotion_val,0.0556
next_day_stressed,user_excited,0.0527
next_day_disappointed,emotion_intensity,-0.9999
next_day_emotion_val,emotion_val_change,1.0
next_day_emotion_val,emotion_intensity,-0.7155
next_day_emotion_val,user_disappointed,-0.1662
next_day_emotion_val,next_day_disappointed,-0.0524
next_day_emotion_val,churned,-0.044
emotion_val_change,engagement_change,2.4195
emotion_val_change,video_engagement_score,1.878
emotion_val_change,next_day_disappointed,-0.3743
emotion_val_change,churned,-0.0853
engagement_change,next_day_engagement,1.0
engagement_change,video_engagement_score,-0.4805
