State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 1422.839, 0.0, 0.0, 0.0, 1659.806)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 1265.2, 0.0, 0.0, 1.0, 1659.806)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 976.868, 0.0, 0.0, 0.0, 1659.806)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 1295.334, 0.0, 0.0, 0.0, 1659.806)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 1096.195, 0.0, 0.0, -1.0, 1659.806)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 786.732, 0.0, 0.0, 0.0, 1659.806)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 196.492, 0.0, 0.0, 1.0, 1659.806)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 0.0, 0.0, 0.0, -1.0, 1659.806)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.333, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 353.304, 0.0, 0.0, 1.0, 1659.806)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 643.032, 0.0, 0.0, -1.0, 1659.806)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 1659.806, 1068.848, 569.958, 2751.462, 643.032, 0.0, 0.0, 0.0, 1659.806)",10
