user_id,num_watched,num_hits,recall@K
U0001,95,39,0.4105263157894737
U0002,308,93,0.30194805194805197
U0003,309,115,0.37216828478964403
U0004,228,68,0.2982456140350877
U0005,103,27,0.2621359223300971
U0006,98,39,0.3979591836734694
U0007,98,30,0.30612244897959184
U0008,181,42,0.23204419889502761
U0009,298,93,0.31208053691275167
U0010,247,93,0.3765182186234818
U0011,127,28,0.2204724409448819
U0012,311,105,0.33762057877813506
U0013,288,95,0.3298611111111111
U0014,130,29,0.2230769230769231
U0015,103,30,0.2912621359223301
U0016,128,55,0.4296875
U0017,120,42,0.35
U0018,248,91,0.36693548387096775
U0019,94,29,0.30851063829787234
U0020,141,58,0.41134751773049644
U0021,310,71,0.22903225806451613
U0022,131,42,0.32061068702290074
U0023,135,56,0.4148148148148148
U0024,135,74,0.5481481481481482
U0025,122,67,0.5491803278688525
U0026,236,48,0.2033898305084746
U0027,105,40,0.38095238095238093
U0028,273,111,0.4065934065934066
U0029,289,96,0.33217993079584773
U0030,139,71,0.5107913669064749
U0031,253,83,0.32806324110671936
U0032,99,34,0.3434343434343434
U0033,71,10,0.14084507042253522
U0034,307,126,0.41042345276872966
U0035,312,127,0.40705128205128205
U0036,213,83,0.38967136150234744
U0037,161,104,0.6459627329192547
U0038,128,50,0.390625
U0039,276,93,0.33695652173913043
U0040,124,51,0.4112903225806452
U0041,127,38,0.2992125984251969
U0042,110,29,0.2636363636363636
U0043,126,73,0.5793650793650794
U0044,347,55,0.1585014409221902
U0045,111,61,0.5495495495495496
U0046,280,167,0.5964285714285714
U0047,99,35,0.35353535353535354
U0048,279,179,0.6415770609318996
U0049,275,121,0.44
U0050,135,107,0.7925925925925926
U0051,266,91,0.34210526315789475
U0052,230,88,0.3826086956521739
U0053,292,132,0.4520547945205479
U0054,231,117,0.5064935064935064
U0055,276,92,0.3333333333333333
U0056,343,131,0.3819241982507289
U0057,153,55,0.35947712418300654
U0058,112,30,0.26785714285714285
U0059,111,43,0.38738738738738737
U0060,108,52,0.48148148148148145
U0061,120,38,0.31666666666666665
U0062,102,26,0.2549019607843137
U0063,256,86,0.3359375
U0064,145,47,0.32413793103448274
U0065,160,68,0.425
U0066,235,145,0.6170212765957447
U0067,70,15,0.21428571428571427
U0068,298,69,0.23154362416107382
U0069,117,47,0.4017094017094017
U0070,325,104,0.32
U0071,223,61,0.273542600896861
U0072,139,68,0.4892086330935252
U0073,118,119,1.0
U0074,296,144,0.4864864864864865
U0075,295,96,0.3254237288135593
U0076,265,130,0.49056603773584906
U0077,198,56,0.2828282828282828
U0078,95,28,0.29473684210526313
U0079,104,39,0.375
U0080,119,50,0.42016806722689076
U0081,221,67,0.3031674208144796
U0082,256,123,0.48046875
U0083,144,54,0.375
U0084,137,69,0.5036496350364964
U0085,139,46,0.33093525179856115
U0086,142,85,0.5985915492957746
U0087,288,102,0.3541666666666667
U0088,325,120,0.36923076923076925
U0089,262,100,0.3816793893129771
U0090,142,59,0.4154929577464789
U0091,149,94,0.6308724832214765
U0092,309,99,0.32038834951456313
U0093,237,116,0.48945147679324896
U0094,197,63,0.3197969543147208
U0095,298,108,0.3624161073825503
U0096,162,71,0.4382716049382716
U0097,273,98,0.358974358974359
U0098,89,27,0.30337078651685395
U0099,126,44,0.3492063492063492
U0100,89,51,0.5730337078651685
U0101,133,62,0.46616541353383456
U0102,240,47,0.19583333333333333
U0103,84,43,0.5119047619047619
U0104,276,79,0.286231884057971
U0105,297,129,0.43434343434343436
U0106,96,22,0.22916666666666666
U0107,88,22,0.25
U0108,257,149,0.5797665369649806
U0109,119,33,0.2773109243697479
U0110,104,44,0.4230769230769231
U0111,91,28,0.3076923076923077
U0112,160,73,0.45625
U0113,347,150,0.4322766570605187
U0114,226,79,0.3495575221238938
U0115,225,72,0.32
U0116,263,90,0.34220532319391633
U0117,287,107,0.37282229965156793
U0118,114,36,0.3157894736842105
U0119,273,216,0.7912087912087912
U0120,311,128,0.4115755627009646
U0121,240,86,0.35833333333333334
U0122,282,71,0.25177304964539005
U0123,82,42,0.5121951219512195
U0124,103,37,0.3592233009708738
U0125,105,24,0.22857142857142856
U0126,116,95,0.8189655172413793
U0127,257,85,0.33073929961089493
U0128,203,36,0.17733990147783252
U0129,146,69,0.4726027397260274
U0130,300,102,0.34
U0131,127,49,0.3858267716535433
U0132,136,56,0.4117647058823529
U0133,82,32,0.3902439024390244
U0134,94,29,0.30851063829787234
U0135,344,116,0.3372093023255814
U0136,101,35,0.3465346534653465
U0137,332,88,0.26506024096385544
U0138,300,218,0.7266666666666667
U0139,70,25,0.35714285714285715
U0140,355,138,0.38873239436619716
U0141,314,119,0.37898089171974525
U0142,97,31,0.31958762886597936
U0143,149,111,0.7449664429530202
U0144,86,29,0.3372093023255814
U0145,118,52,0.4406779661016949
U0146,93,18,0.1935483870967742
U0147,297,63,0.21212121212121213
U0148,213,67,0.3145539906103286
U0149,136,59,0.4338235294117647
U0150,113,70,0.6194690265486725
U0151,330,93,0.2818181818181818
U0152,83,23,0.27710843373493976
U0153,72,25,0.3472222222222222
U0154,98,30,0.30612244897959184
U0155,345,154,0.4463768115942029
U0156,124,40,0.3225806451612903
U0157,217,101,0.46543778801843316
U0158,272,214,0.7867647058823529
U0159,90,28,0.3111111111111111
U0160,287,197,0.686411149825784
U0161,94,35,0.3723404255319149
U0162,213,94,0.4413145539906103
U0163,308,101,0.32792207792207795
U0164,257,54,0.21011673151750973
U0165,106,29,0.27358490566037735
U0166,245,99,0.40408163265306124
U0167,121,119,0.9834710743801653
U0168,106,37,0.3490566037735849
U0169,143,64,0.44755244755244755
U0170,199,75,0.3768844221105528
U0171,209,50,0.23923444976076555
U0172,91,27,0.2967032967032967
U0173,213,66,0.30985915492957744
U0174,104,40,0.38461538461538464
U0175,295,93,0.3152542372881356
U0176,120,37,0.30833333333333335
U0177,252,103,0.4087301587301587
U0178,135,58,0.42962962962962964
U0179,322,129,0.40062111801242234
U0180,109,46,0.42201834862385323
U0181,82,77,0.9390243902439024
U0182,96,28,0.2916666666666667
U0183,325,104,0.32
U0184,310,60,0.1935483870967742
U0185,136,58,0.4264705882352941
U0186,203,58,0.2857142857142857
U0187,196,78,0.3979591836734694
U0188,320,123,0.384375
U0189,272,56,0.20588235294117646
U0190,126,76,0.6031746031746031
U0191,139,42,0.302158273381295
U0192,286,138,0.4825174825174825
U0193,299,105,0.3511705685618729
